system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,.geo
10485_0,227.0,177.0,190.0,3.0,5.0,
10502_0,339.0,175.0,190.0,3.0,2.0,
10507_0,140.0,174.5,189.5,3.0,1.0,
10573_0,195.0,174.5,189.5,3.0,3.0,
10633_0,237.0,179.0,190.0,3.0,15.0,
10753_0,340.0,177.5,188.5,3.0,3.0,
10838_0,282.0,175.5,190.0,3.0,2.0,
10936_0,110.0,174.5,190.0,3.0,1.0,
11025_0,201.0,175.5,190.0,3.0,1.0,
11136_0,291.0,175.0,190.0,3.0,3.0,
11137_0,239.0,178.0,190.0,3.0,1.0,
11240_0,342.0,178.5,187.0,3.0,7.0,
11344_0,247.0,178.5,220.0,3.0,9.0,
11345_0,203.0,175.5,190.0,3.0,1.0,
11404_0,238.0,178.0,190.0,3.0,1.0,
11413_0,240.0,177.0,190.0,3.0,5.0,
11495_0,282.0,175.0,190.0,3.0,2.0,
11507_0,218.0,176.0,189.0,3.0,1.0,
11537_0,252.0,177.5,210.5,3.0,1.0,
11538_0,208.0,177.0,189.5,3.0,1.0,
11557_0,203.0,176.0,190.0,3.0,1.0,
11774_0,193.0,177.0,189.5,3.0,1.0,
11873_0,339.0,176.5,189.5,3.0,2.0,
12017_0,66.0,175.5,190.0,3.0,3.0,
12044_0,343.0,174.5,190.0,3.0,5.0,
12306_0,339.0,176.0,190.0,3.0,2.0,
12407_0,247.0,178.5,190.0,3.0,7.0,
12515_0,288.0,177.0,190.0,3.0,2.0,
12601_0,346.0,174.5,190.0,3.0,7.0,
12634_0,179.0,179.5,189.0,3.0,1.0,
12639_0,190.0,175.5,190.0,3.0,3.0,
12684_0,201.0,177.0,190.0,3.0,4.0,
12803_0,246.0,175.0,189.5,3.0,3.0,
12823_0,191.0,175.5,190.0,3.0,3.0,
12916_0,339.0,175.0,190.0,3.0,2.0,
13043_0,344.0,174.5,189.5,3.0,3.0,
13344_0,193.0,175.5,189.5,3.0,2.0,
13393_0,229.0,177.0,190.0,3.0,4.0,
13424_0,246.0,176.5,190.0,3.0,7.0,
13467_0,343.0,176.5,190.0,3.0,5.0,
13556_0,199.0,175.5,190.0,3.0,2.0,
13613_0,343.0,175.0,190.0,3.0,5.0,
13741_0,344.0,174.5,190.0,3.0,3.0,
13770_0,340.0,174.5,189.0,3.0,2.0,
14074_0,282.0,175.5,190.0,3.0,2.0,
14079_0,246.0,177.5,189.5,3.0,10.0,
14180_0,210.0,177.5,189.0,3.0,1.0,
14271_0,210.0,177.0,189.5,3.0,2.0,
14295_0,190.0,176.0,190.0,3.0,4.0,
14423_0,228.0,176.5,190.0,3.0,1.0,
14734_0,189.0,176.0,190.0,3.0,3.0,
14780_0,192.0,176.5,190.0,3.0,5.0,
14788_0,199.0,174.5,189.5,3.0,2.0,
14906_0,233.0,177.0,190.0,3.0,9.0,
14918_0,282.0,176.0,190.0,3.0,2.0,
14951_0,282.0,176.0,190.0,3.0,2.0,
14979_0,282.0,176.5,190.0,3.0,2.0,
15350_0,350.0,178.0,189.5,3.0,3.0,
15469_0,339.0,175.0,189.5,3.0,2.0,
15477_0,246.0,176.5,189.5,3.0,4.0,
15504_0,211.0,178.5,189.5,3.0,2.0,
15616_0,247.0,177.5,190.0,3.0,9.0,
15626_0,190.0,176.0,190.0,3.0,4.0,
15831_0,244.0,176.5,189.5,3.0,10.0,
15843_0,242.0,179.0,244.5,3.0,14.0,
15899_0,195.0,174.5,189.5,3.0,1.0,
16213_0,200.0,175.5,190.0,3.0,2.0,
16346_0,247.0,176.5,220.0,3.0,5.0,
16401_0,263.0,176.0,190.0,3.0,2.0,
16419_0,215.0,175.0,189.5,3.0,3.0,
16465_0,282.0,175.5,190.0,3.0,2.0,
16776_0,246.0,178.0,190.0,3.0,8.0,
16829_0,214.0,176.0,188.5,3.0,7.0,
16876_0,189.0,174.5,190.0,3.0,1.0,
16903_0,188.0,178.0,190.0,3.0,1.0,
16950_0,344.0,174.5,190.0,3.0,5.0,
17020_0,246.0,206.5,250.5,3.0,7.0,
17068_0,198.0,175.5,190.0,3.0,2.0,
17144_0,243.0,179.5,189.5,3.0,1.0,
17162_0,283.0,175.5,189.5,3.0,2.0,
17168_0,234.0,176.5,190.0,3.0,3.0,
17267_0,347.0,174.5,189.0,3.0,1.0,
17347_0,342.0,174.5,189.0,3.0,3.0,
17371_0,339.0,175.0,190.0,3.0,2.0,
17404_0,343.0,174.5,189.5,3.0,4.0,
17429_0,139.0,174.5,189.5,3.0,2.0,
17462_0,198.0,176.5,190.0,3.0,2.0,
17502_0,200.0,176.0,190.0,3.0,2.0,
17699_0,339.0,176.5,189.5,3.0,2.0,
17742_0,284.0,176.5,190.0,3.0,1.0,
17873_0,244.0,175.0,189.0,3.0,4.0,
17901_0,215.0,175.0,189.5,3.0,3.0,
17902_0,199.0,175.5,190.0,3.0,3.0,
18355_0,276.0,191.0,262.0,3.0,3.0,
18368_0,240.0,177.5,219.0,3.0,1.0,
18434_0,247.0,177.0,190.0,3.0,10.0,
18883_0,339.0,175.0,189.5,3.0,2.0,
19097_0,287.0,176.5,190.0,3.0,1.0,
19228_0,344.0,175.0,190.0,3.0,6.0,
19444_0,282.0,176.0,190.0,3.0,2.0,
19547_0,284.0,175.5,190.0,3.0,1.0,
19584_0,247.0,179.0,190.0,3.0,11.0,
19676_0,345.0,175.0,190.0,3.0,8.0,
19679_0,239.0,177.5,190.0,3.0,1.0,
19963_0,200.0,175.5,190.0,3.0,2.0,
20036_0,342.0,177.5,187.5,3.0,7.0,
20279_0,196.0,174.5,189.5,3.0,3.0,
20475_0,283.0,176.5,190.0,3.0,3.0,
20498_0,283.0,175.5,190.0,3.0,4.0,
20533_0,244.0,177.5,190.0,3.0,1.0,
20711_0,343.0,176.5,190.0,3.0,5.0,
20751_0,286.0,176.5,190.0,3.0,1.0,
20824_0,284.0,175.5,190.0,3.0,3.0,
20964_0,340.0,175.0,190.0,3.0,3.0,
21086_0,190.0,177.0,190.0,3.0,3.0,
21141_0,282.0,177.0,189.0,3.0,2.0,
21234_0,224.0,177.0,213.0,3.0,1.0,
21295_0,228.0,177.5,190.0,3.0,8.0,
21296_0,236.0,205.5,246.5,3.0,3.0,
21345_0,283.0,175.5,190.0,3.0,4.0,
21522_0,178.0,175.0,189.0,3.0,1.0,
21581_0,194.0,174.5,189.5,3.0,4.0,
21708_0,282.0,175.5,190.0,3.0,2.0,
22060_0,343.0,176.5,190.0,3.0,5.0,
22200_0,341.0,174.5,189.5,3.0,3.0,
22202_0,339.0,175.0,189.5,3.0,2.0,
22285_0,282.0,175.5,190.0,3.0,2.0,
22404_0,246.0,179.5,220.0,3.0,6.0,
22434_0,198.0,175.5,190.0,3.0,2.0,
22461_0,283.0,175.5,190.0,3.0,3.0,
22474_0,200.0,175.5,190.0,3.0,2.0,
22586_0,172.0,177.0,188.5,3.0,3.0,
22596_0,343.0,175.0,190.0,3.0,4.0,
22624_0,344.0,176.0,190.0,3.0,7.0,
22713_0,193.0,177.5,187.5,3.0,1.0,
22730_0,285.0,175.5,190.0,3.0,4.0,
22732_0,184.0,174.5,190.0,3.0,2.0,
22786_0,208.0,177.5,189.5,3.0,1.0,
22883_0,191.0,175.5,189.5,3.0,3.0,
22982_0,237.0,174.5,190.0,3.0,1.0,
22991_0,240.0,177.5,189.5,3.0,1.0,
23014_0,252.0,177.0,190.0,3.0,1.0,
23102_0,345.0,174.5,190.0,3.0,5.0,
23118_0,194.0,174.5,189.5,3.0,4.0,
23154_0,190.0,176.0,190.0,3.0,2.0,
23739_0,248.0,176.5,190.0,3.0,7.0,
23873_0,339.0,175.0,189.5,3.0,2.0,
23946_0,244.0,179.0,190.0,3.0,17.0,
24017_0,282.0,175.5,190.0,3.0,2.0,
24122_0,214.0,176.0,190.0,3.0,3.0,
24129_0,344.0,174.5,190.0,3.0,4.0,
24404_0,262.0,175.5,190.0,3.0,1.0,
24551_0,343.0,175.0,190.0,3.0,5.0,
24570_0,344.0,174.5,190.0,3.0,4.0,
24589_0,345.0,177.5,190.0,3.0,8.0,
24708_0,283.0,175.5,190.0,3.0,4.0,
24895_0,274.0,208.5,219.5,3.0,1.0,
24987_0,350.0,176.5,190.0,3.0,3.0,
25027_0,191.0,175.5,190.0,3.0,3.0,
25047_0,258.0,175.0,189.5,3.0,5.0,
25057_0,139.0,174.5,189.5,3.0,1.0,
