system:index,gHM,.geo
311_0,0.17000453,
312_0,0.058447808,
313_0,0.18664181,
314_0,0.04579918,
315_0,0.098743,
316_0,0.021000525,
317_0,0.073939934,
318_0,0.06182682,
320_0,0.015852131,
321_0,0.025518673,
323_0,0.06648145,
325_0,0.47296992,
326_0,0.30992508,
327_0,0.0038649102,
328_0,0.17701763,
329_0,0.0,
330_0,0.007889102,
331_0,0.0023497932,
332_0,0.032874018,
333_0,0.34699628,
334_0,0.0053979163,
335_0,0.0017057953,
336_0,0.08379154,
337_0,0.18996969,
338_0,0.24088049,
339_0,0.024651693,
340_0,0.12435381,
341_0,0.0,
342_0,0.022782797,
343_0,0.045410536,
344_0,0.004029181,
345_0,0.13302532,
346_0,0.0,
347_0,0.08618488,
348_0,0.39076608,
350_0,0.37732705,
351_0,0.19717512,
352_0,0.14973016,
353_0,0.91563123,
354_0,0.11297023,
355_0,0.017244613,
356_0,0.29423654,
357_0,0.538365,
359_0,0.084539115,
360_0,0.057958845,
362_0,0.040257264,
363_0,0.10771361,
364_0,0.025533829,
365_0,0.18477146,
366_0,0.0,
367_0,0.054562047,
368_0,0.07030889,
369_0,0.028770214,
370_0,0.22171202,
371_0,0.40578642,
372_0,0.45648143,
373_0,0.42355847,
374_0,0.018145248,
375_0,0.4450408,
376_0,0.24678972,
377_0,0.71116626,
378_0,0.39263758,
379_0,0.21449664,
380_0,0.0,
381_0,0.27952284,
382_0,0.26658303,
383_0,0.3279009,
384_0,0.021551965,
385_0,0.07361839,
386_0,0.3923042,
387_0,0.36406952,
388_0,0.0,
389_0,0.05892892,
390_0,0.39565268,
391_0,0.30935803,
392_0,3.014072E-4,
393_0,0.033488717,
394_0,0.5285347,
395_0,0.0,
396_0,0.4634622,
397_0,0.032716714,
398_0,0.029111948,
399_0,0.28313255,
400_0,0.008785111,
401_0,0.26025805,
402_0,0.0,
403_0,0.3468768,
404_0,0.3566276,
405_0,0.052732855,
406_0,0.028469684,
407_0,0.41746593,
409_0,0.0,
410_0,0.42546937,
411_0,0.07719545,
413_0,0.043412834,
414_0,0.41849312,
415_0,0.08683449,
416_0,0.21999227,
417_0,0.2259686,
418_0,0.12011995,
419_0,0.0,
420_0,0.020724202,
421_0,0.0,
422_0,0.06071705,
423_0,0.01624409,
425_0,0.088403426,
426_0,0.0036472068,
427_0,0.19382976,
428_0,0.0,
429_0,0.0145505415,
431_0,0.8101772,
432_0,0.027191171,
433_0,0.30008808,
435_0,0.9227371,
436_0,0.026720615,
437_0,0.119062215,
438_0,0.0,
439_0,0.026329806,
440_0,0.41203812,
441_0,0.059291538,
442_0,0.039673515,
443_0,0.010806652,
444_0,0.034335654,
445_0,0.89023066,
446_0,0.5685541,
447_0,0.54589266,
448_0,0.036039058,
449_0,0.8739706,
451_0,0.69148046,
452_0,0.21013466,
453_0,0.51376903,
454_0,0.051796082,
455_0,0.0026831627,
456_0,0.3698043,
457_0,0.066476434,
458_0,0.022463713,
459_0,0.5472527,
460_0,0.024208345,
461_0,0.47543234,
462_0,0.08456367,
463_0,0.5933662,
464_0,0.032894995,
465_0,0.5979012,
466_0,0.7948018,
467_0,0.0,
468_0,1.5575097E-4,
469_0,0.010059019,
470_0,0.52629554,
471_0,0.07428485,
472_0,0.31537154,
473_0,0.07928802,
474_0,0.37286368,
475_0,2.2073745E-4,
476_0,0.74710935,
477_0,0.07814597,
478_0,0.05224576,
479_0,0.047369078,
480_0,0.015423457,
481_0,3.0323718E-4,
482_0,0.39463466,
483_0,0.3439628,
484_0,0.30549613,
485_0,0.29832017,
486_0,0.0033818828,
488_0,0.17007156,
489_0,0.2121337,
490_0,0.0,
491_0,0.037115004,
492_0,0.3449623,
493_0,0.17149267,
494_0,0.18093029,
495_0,0.31293967,
497_0,0.0697061,
498_0,0.14509463,
500_0,0.30479726,
501_0,0.00270731,
502_0,0.38258654,
503_0,0.9356935,
504_0,1.8602728E-4,
505_0,0.49423894,
506_0,0.020404976,
508_0,0.008599097,
509_0,0.05924276,
510_0,0.291106,
511_0,0.021186445,
512_0,0.0037380168,
513_0,0.044774424,
514_0,0.021313243,
516_0,0.082907565,
517_0,0.11536397,
519_0,0.04891779,
520_0,0.0541059,
521_0,0.20651984,
522_0,0.52681273,
523_0,0.051403128,
524_0,0.038014475,
526_0,5.746006E-6,
527_0,0.1730068,
528_0,0.9383163,
529_0,0.116385855,
530_0,0.35755822,
531_0,0.23416497,
532_0,0.8936534,
533_0,0.32469195,
534_0,0.02059566,
535_0,0.058258906,
536_0,0.0014717502,
537_0,0.5022137,
538_0,0.0907876,
539_0,0.01196743,
540_0,0.0,
541_0,0.07645715,
542_0,0.18626834,
543_0,0.4031175,
544_0,0.13198583,
546_0,0.25178713,
547_0,0.065971784,
548_0,0.3031159,
549_0,0.0,
550_0,0.016746242,
551_0,0.028556347,
553_0,0.0,
554_0,0.00223786,
555_0,0.09389838,
557_0,0.017660176,
558_0,0.2788545,
559_0,0.007426773,
560_0,0.022701954,
561_0,0.3850768,
562_0,0.06078183,
563_0,0.046905287,
564_0,0.6427583,
565_0,0.6526875,
566_0,0.4223685,
567_0,0.0,
568_0,0.080050245,
569_0,0.02175981,
570_0,0.023733327,
571_0,0.0026231594,
572_0,2.592829E-6,
573_0,0.1170264,
574_0,0.0036242807,
575_0,0.04225118,
577_0,0.04697719,
578_0,0.0,
579_0,0.17944887,
580_0,0.038554203,
581_0,0.19523558,
582_0,0.5824111,
583_0,0.3416612,
584_0,0.07961942,
585_0,4.6742245E-4,
586_0,0.05598701,
587_0,0.23271354,
588_0,0.045201533,
589_0,0.13449417,
590_0,0.095599025,
591_0,0.018445356,
592_0,0.6364102,
593_0,0.0766437,
594_0,0.6571943,
595_0,0.0868334,
596_0,0.20362958,
597_0,0.037197232,
598_0,0.19187382,
599_0,0.760645,
600_0,0.5886585,
601_0,0.07998012,
603_0,0.07151411,
604_0,0.052058388,
605_0,0.29016665,
606_0,0.040371444,
607_0,0.32919565,
608_0,0.5844594,
609_0,0.5318349,
610_0,1.770338E-5,
611_0,0.2632218,
612_0,0.38952792,
613_0,0.0036025576,
614_0,0.11791603,
615_0,0.019742858,
616_0,0.54496706,
617_0,0.48385406,
618_0,0.2817597,
619_0,0.12331203,
620_0,0.04382258,
621_0,0.11147086,
622_0,0.33063045,
623_0,5.946541E-4,
624_0,4.2813297E-4,
625_0,0.048341583,
626_0,0.06894799,
627_0,0.34957922,
628_0,0.09770365,
629_0,0.3283888,
630_0,0.41670513,
631_0,0.16432065,
632_0,0.0,
633_0,0.30943745,
634_0,0.023125412,
635_0,0.015043955,
636_0,0.93233657,
637_0,0.057781976,
639_0,0.047852796,
640_0,0.02341328,
641_0,0.044696145,
642_0,0.3213206,
643_0,0.104701586,
644_0,0.04509542,
645_0,0.18457624,
646_0,8.664367E-4,
647_0,0.33446667,
648_0,0.16664766,
649_0,0.0,
650_0,0.49678057,
651_0,7.720241E-4,
652_0,0.100450136,
653_0,0.089686394,
654_0,0.15293567,
655_0,0.5300545,
656_0,0.046553932,
657_0,0.092712946,
659_0,0.027519384,
660_0,0.1074551,
661_0,0.042433187,
662_0,0.17291273,
663_0,0.114670925,
664_0,0.28803542,
665_0,0.6828197,
666_0,0.13339779,
667_0,0.19007559,
668_0,0.0072611743,
670_0,0.05169951,
671_0,0.017397318,
672_0,0.0,
673_0,0.0,
674_0,0.019408282,
675_0,0.0769494,
676_0,0.045219973,
677_0,0.14810598,
678_0,0.0016591273,
679_0,0.016700111,
680_0,0.5211978,
681_0,0.4161386,
682_0,0.021257315,
683_0,0.014019129,
685_0,0.0042714463,
686_0,0.2349195,
687_0,9.061519E-4,
688_0,0.028646719,
689_0,0.5968168,
690_0,5.603011E-7,
691_0,0.07756291,
692_0,0.08829624,
693_0,0.0,
694_0,0.003629086,
695_0,0.54104483,
696_0,9.171409E-5,
699_0,0.39855796,
701_0,0.6424764,
702_0,0.39366305,
703_0,0.0049761604,
704_0,0.3363244,
706_0,0.024471331,
707_0,0.10650496,
708_0,0.18689735,
709_0,0.0,
710_0,0.6918405,
711_0,0.31400967,
712_0,3.0033778E-5,
713_0,0.048856817,
714_0,0.128753,
715_0,0.067369595,
716_0,0.03146668,
717_0,0.09777463,
718_0,0.018713467,
719_0,0.06930169,
721_0,0.6548497,
723_0,3.6417006E-4,
724_0,0.01362565,
725_0,0.0557171,
727_0,0.6582701,
728_0,0.20176539,
729_0,0.0,
731_0,0.18557075,
732_0,0.047173947,
733_0,0.5023542,
734_0,0.1613471,
735_0,0.07360179,
736_0,0.009068382,
737_0,0.025350794,
738_0,0.01898664,
739_0,0.46434656,
740_0,0.2602597,
741_0,0.0059724925,
742_0,0.0,
743_0,0.087185055,
744_0,0.8331853,
745_0,0.30815837,
746_0,0.39880514,
747_0,0.3479908,
749_0,0.45304212,
750_0,0.24693651,
751_0,0.09245315,
752_0,0.29137418,
753_0,0.06897666,
755_0,0.035237808,
757_0,0.1005706,
758_0,0.075619824,
759_0,0.09773898,
760_0,0.057333086,
761_0,0.06277966,
762_0,0.3810148,
763_0,0.4198844,
764_0,0.35796857,
765_0,0.24213673,
766_0,7.2696875E-4,
767_0,0.025814094,
769_0,0.4881133,
770_0,0.7799188,
771_0,0.018357463,
773_0,0.33011404,
774_0,0.20703658,
775_0,0.54265183,
776_0,0.030972533,
777_0,0.001232973,
778_0,0.0,
779_0,0.04951531,
780_0,0.0,
781_0,0.36180368,
782_0,0.08887129,
783_0,0.11073194,
784_0,0.0743422,
785_0,0.4996882,
786_0,0.3207841,
788_0,0.008688904,
789_0,0.08880389,
790_0,0.29465085,
791_0,0.35751757,
792_0,0.33086172,
793_0,0.012726049,
794_0,0.2271342,
795_0,0.10194314,
796_0,0.17823929,
797_0,0.0,
798_0,0.35999185,
799_0,0.18488096,
800_0,0.06929325,
801_0,0.0016359325,
802_0,0.22658795,
803_0,0.411407,
804_0,0.4801165,
805_0,0.0552737,
806_0,0.7056754,
807_0,0.08804267,
808_0,0.6272121,
809_0,0.028458858,
810_0,0.0021273347,
811_0,0.35142887,
812_0,0.06703108,
813_0,0.006557062,
814_0,0.08021828,
815_0,2.8137097E-4,
816_0,0.11699455,
817_0,0.097236656,
818_0,0.019097487,
819_0,0.29200062,
820_0,0.80020785,
821_0,0.019352494,
822_0,0.067155145,
823_0,0.045103386,
824_0,0.014840195,
826_0,0.1803667,
827_0,9.983791E-5,
828_0,0.01678939,
829_0,0.075489804,
830_0,0.07627476,
831_0,0.9254616,
832_0,0.13039804,
834_0,0.021221863,
835_0,0.27151513,
836_0,0.08767963,
837_0,0.27453092,
838_0,0.031967413,
839_0,0.8678523,
840_0,0.37912348,
841_0,0.49216077,
842_0,0.4399278,
843_0,0.3853013,
844_0,0.5899014,
845_0,0.06256646,
846_0,0.04445597,
848_0,0.06758763,
849_0,0.13114017,
850_0,0.011950089,
851_0,7.875749E-5,
852_0,0.03230036,
853_0,0.24394163,
854_0,0.027311023,
855_0,0.0,
856_0,0.018431066,
857_0,0.18683748,
858_0,0.05221112,
859_0,0.03175608,
860_0,0.22340775,
861_0,0.04925731,
862_0,0.08940004,
863_0,0.08498117,
864_0,0.0,
865_0,0.25888512,
866_0,0.436739,
867_0,0.012259298,
868_0,0.53663796,
870_0,0.06668884,
871_0,0.34587124,
872_0,0.05955093,
873_0,0.032777756,
874_0,0.28783482,
875_0,2.3134034E-4,
876_0,0.13113123,
877_0,0.33824375,
878_0,0.023958461,
879_0,0.0,
880_0,0.33829543,
881_0,0.0691629,
882_0,0.051682062,
883_0,0.0372313,
884_0,0.013446581,
885_0,0.38170502,
886_0,0.034926217,
887_0,0.0,
888_0,0.34022292,
889_0,0.0029004207,
890_0,0.008068787,
891_0,0.06709736,
892_0,0.0800508,
893_0,0.11577834,
894_0,0.65665257,
895_0,0.1986149,
896_0,0.024325682,
897_0,0.3514272,
898_0,0.35536736,
899_0,0.36037052,
900_0,0.42591307,
901_0,0.04008055,
902_0,0.17233816,
904_0,8.852789E-5,
905_0,0.17735487,
906_0,0.054164514,
907_0,0.002714373,
908_0,0.046733536,
909_0,0.16321807,
910_0,0.011802604,
911_0,0.52495444,
912_0,0.48049715,
913_0,0.07735982,
914_0,0.031699914,
915_0,0.083027974,
916_0,0.5932123,
918_0,8.963083E-4,
919_0,0.10386528,
920_0,0.0,
921_0,0.33632964,
922_0,0.07949406,
923_0,0.0630957,
924_0,0.25199255,
925_0,0.060691558,
926_0,0.45945153,
927_0,0.08327234,
928_0,0.2800621,
929_0,0.05525507,
930_0,0.29892126,
931_0,0.049749363,
932_0,0.02324345,
933_0,0.09800101,
934_0,0.024688024,
935_0,0.039377123,
936_0,0.0,
938_0,0.72015774,
939_0,0.6443226,
940_0,0.63287985,
941_0,0.11390101,
942_0,0.0,
943_0,0.0035344127,
944_0,0.22703138,
945_0,0.68902475,
946_0,0.1008117,
947_0,0.49439955,
948_0,0.046729013,
949_0,0.0,
950_0,0.40348122,
951_0,0.57599914,
952_0,0.020966992,
953_0,0.0030305022,
954_0,0.0,
955_0,0.20746794,
956_0,0.05952674,
957_0,0.016618574,
958_0,0.026923094,
959_0,0.05061007,
960_0,0.02879137,
961_0,0.47882575,
962_0,0.005678427,
963_0,0.07207302,
965_0,0.037707523,
966_0,0.37466854,
968_0,0.30013624,
969_0,0.14641654,
970_0,0.7868256,
971_0,0.13214068,
972_0,1.0438333E-4,
973_0,0.037403304,
974_0,0.05757298,
975_0,0.030790243,
976_0,0.08419959,
977_0,0.1263284,
978_0,0.3148447,
979_0,0.028105488,
980_0,0.59188557,
981_0,0.013142236,
982_0,0.58814496,
983_0,0.015241974,
984_0,0.0052953293,
985_0,0.11807468,
986_0,0.045572586,
987_0,0.103007905,
988_0,0.9122421,
989_0,4.5601247E-4,
990_0,0.18438882,
991_0,0.059705738,
992_0,0.12266904,
994_0,0.04639102,
995_0,0.053528152,
996_0,0.060691636,
997_0,0.06892675,
998_0,0.3995768,
999_0,0.0,
1000_0,0.05073633,
1001_0,0.0266459,
1002_0,0.033513468,
1003_0,0.007127841,
1004_0,0.09194061,
1005_0,0.0781277,
1006_0,0.0,
1007_0,0.038118523,
1008_0,0.19136448,
1009_0,0.0067117536,
1010_0,0.00454233,
1011_0,0.07407473,
1012_0,0.064111866,
1014_0,0.0,
1015_0,0.020314844,
1016_0,0.4448053,
1017_0,0.9284695,
1018_0,0.06305149,
1019_0,0.077936634,
1020_0,0.0027903893,
1021_0,0.8807946,
1022_0,0.004174913,
1023_0,0.0036242807,
1024_0,0.025328295,
1025_0,0.0,
1026_0,0.16159971,
1027_0,0.4694357,
1028_0,0.07060577,
1029_0,0.11375886,
1030_0,0.15908696,
1031_0,0.012479677,
1032_0,0.3831684,
1033_0,0.5650576,
1034_0,0.082968175,
1035_0,0.50033003,
1036_0,0.38970155,
1037_0,0.2594068,
1038_0,0.022174051,
1039_0,0.2970325,
1040_0,0.11199699,
1041_0,0.0,
1042_0,0.32694975,
1043_0,0.046556555,
1044_0,0.060952786,
1045_0,0.65609515,
1046_0,0.027784113,
1048_0,0.028903818,
1051_0,0.5484691,
1052_0,0.05678047,
1053_0,0.107345924,
1054_0,0.04564081,
1055_0,0.32763314,
1056_0,0.34910583,
1057_0,0.036268037,
1058_0,0.0017125137,
1059_0,0.040907,
1060_0,0.069959275,
1061_0,0.019820767,
