Date,Time,NadirX-NAD83,NadirY-NAD83,Depth
6/6/2016,14:55:58,376568.6504,4625475.781,4.1
6/6/2016,14:55:59,376566.7904,4625473.371,4.2
6/6/2016,14:56:00,376564.9204,4625470.961,4.1
6/6/2016,14:56:01,376563.0504,4625468.531,4.1
6/6/2016,14:56:02,376561.1804,4625466.101,4
6/6/2016,14:56:03,376559.3204,4625463.671,3.9
6/6/2016,14:56:05,376557.4504,4625461.221,3.9
6/6/2016,14:56:06,376555.5904,4625458.771,3.9
6/6/2016,14:56:07,376553.7204,4625456.311,3.7
6/6/2016,14:56:08,376551.8504,4625453.851,3.8
6/6/2016,14:56:09,376549.9904,4625451.371,4
6/6/2016,14:56:10,376548.1204,4625448.891,3.8
6/6/2016,14:56:11,376546.2504,4625446.401,3.7
6/6/2016,14:56:12,376544.3804,4625443.901,3.5
6/6/2016,14:56:13,376542.5104,4625441.391,3.4
6/6/2016,14:56:14,376540.6404,4625438.881,3.5
6/6/2016,14:56:15,376538.7704,4625436.351,3.3
6/6/2016,14:56:16,376536.9004,4625433.831,3.4
6/6/2016,14:56:17,376535.0404,4625431.301,3.5
6/6/2016,14:56:18,376533.1704,4625428.771,3.5
6/6/2016,14:56:19,376531.3104,4625426.251,3.4
6/6/2016,14:56:20,376529.4504,4625423.731,3.4
6/6/2016,14:56:21,376527.5904,4625421.221,3.2
6/6/2016,14:56:22,376525.7404,4625418.721,3.2
6/6/2016,14:56:24,376523.9004,4625416.241,3.1
6/6/2016,14:56:25,376522.0704,4625413.771,3.1
6/6/2016,14:56:26,376520.2404,4625411.311,3.1
6/6/2016,14:56:27,376518.4204,4625408.881,3.1
6/6/2016,14:56:28,376516.6004,4625406.461,3.1
6/6/2016,14:56:29,376514.8004,4625404.061,3.1
6/6/2016,14:56:30,376512.9904,4625401.671,2.9
6/6/2016,14:56:31,376511.1904,4625399.281,2.9
6/6/2016,14:56:32,376509.4004,4625396.901,3
6/6/2016,14:56:33,376507.6004,4625394.521,3
6/6/2016,14:56:34,376505.8004,4625392.141,2.9
6/6/2016,14:56:35,376504.0004,4625389.751,2.7
6/6/2016,14:56:36,376502.2004,4625387.351,2.6
6/6/2016,14:56:37,376500.3904,4625384.941,2.8
6/6/2016,14:56:38,376498.5804,4625382.511,2.9
6/6/2016,14:56:39,376496.7604,4625380.061,2.7
6/6/2016,14:56:40,376494.9304,4625377.591,2.8
6/6/2016,14:56:41,376493.0904,4625375.101,2.8
6/6/2016,14:56:43,376491.2504,4625372.591,2.7
6/6/2016,14:56:44,376489.4004,4625370.081,2.6
6/6/2016,14:56:45,376487.5404,4625367.561,2.4
6/6/2016,14:56:46,376485.6804,4625365.041,2.5
6/6/2016,14:56:47,376483.8204,4625362.511,2.5
6/6/2016,14:56:48,376481.9504,4625359.981,2.4
6/6/2016,14:56:49,376480.0804,4625357.461,2.6
6/6/2016,14:56:50,376478.2104,4625354.951,2.6
6/6/2016,14:56:51,376476.3404,4625352.451,2.3
6/6/2016,14:56:52,376474.4604,4625349.961,2.3
6/6/2016,14:56:53,376472.5904,4625347.501,2.2
6/6/2016,14:56:54,376470.7304,4625345.061,2.3
6/6/2016,14:56:55,376468.9004,4625342.681,2.1
6/6/2016,14:56:56,376467.1104,4625340.351,2
6/6/2016,14:56:57,376465.3704,4625338.091,2.1
6/6/2016,14:56:58,376463.7004,4625335.911,2.1
6/6/2016,14:56:59,376462.1004,4625333.831,1.9
6/6/2016,14:57:00,376460.5904,4625331.861,1.8
6/6/2016,14:57:02,376459.1804,4625330.021,1.8
6/6/2016,14:57:03,376457.8904,4625328.311,1.8
6/6/2016,14:57:04,376456.7204,4625326.751,1.8
6/6/2016,14:57:05,376455.7004,4625325.351,1.8
6/6/2016,14:57:06,376454.8204,4625324.121,1.7
6/6/2016,14:57:07,376454.0704,4625323.051,1.7
6/6/2016,14:57:08,376453.4404,4625322.111,1.6
6/6/2016,14:57:09,376452.9004,4625321.301,1.7
6/6/2016,14:57:10,376452.4404,4625320.571,1.7
6/6/2016,14:57:11,376452.0304,4625319.931,1.6
6/6/2016,14:57:12,376451.6504,4625319.351,1.6
6/6/2016,14:57:13,376451.2904,4625318.801,1.7
6/6/2016,14:57:14,376450.9204,4625318.271,1.5
6/6/2016,14:57:15,376450.5204,4625317.741,1.5
6/6/2016,14:57:16,376450.0804,4625317.181,1.5
6/6/2016,14:57:17,376449.5704,4625316.591,1.2
6/6/2016,14:57:18,376448.9804,4625315.931,1.4
6/6/2016,14:57:19,376448.2804,4625315.201,1.4
6/6/2016,14:57:21,376447.4904,4625314.381,1.4
6/6/2016,14:57:22,376446.6104,4625313.481,1.2
6/6/2016,14:57:23,376445.6604,4625312.511,1.2
6/6/2016,14:57:24,376444.6704,4625311.471,1.2
6/6/2016,14:57:25,376443.6404,4625310.361,1.2
6/6/2016,14:57:26,376442.6104,4625309.201,1.2
6/6/2016,14:57:27,376441.5704,4625307.981,1.2
6/6/2016,14:57:28,376440.5604,4625306.721,1.2
6/6/2016,14:57:29,376439.5904,4625305.401,1.2
6/6/2016,14:57:30,376438.6804,4625304.061,2
6/6/2016,14:57:31,376437.8404,4625302.671,2
6/6/2016,14:57:32,376437.1004,4625301.261,1.9
6/6/2016,14:57:33,376436.4604,4625299.831,1.9
6/6/2016,14:57:34,376435.9404,4625298.381,1.9
6/6/2016,14:57:35,376435.5404,4625296.941,2
6/6/2016,14:57:36,376435.2804,4625295.511,1.9
6/6/2016,14:57:37,376435.1704,4625294.111,1.9
6/6/2016,14:57:38,376435.2204,4625292.741,1.9
6/6/2016,14:57:40,376435.4304,4625291.421,1.8
6/6/2016,14:57:41,376435.8204,4625290.161,1.7
6/6/2016,14:57:42,376436.4004,4625288.971,1.7
6/6/2016,14:57:43,376437.1704,4625287.871,1.6
6/6/2016,14:57:44,376438.1504,4625286.861,1.6
6/6/2016,14:57:45,376439.3404,4625285.961,1.4
6/6/2016,14:57:46,376440.7604,4625285.181,1.4
6/6/2016,14:57:47,376442.3704,4625284.531,2.3
6/6/2016,14:57:48,376444.1504,4625284.011,1.5
6/6/2016,14:57:49,376446.0704,4625283.651,1.6
6/6/2016,14:57:50,376448.1104,4625283.441,1.6
6/6/2016,14:57:51,376450.2304,4625283.411,1.6
6/6/2016,14:57:52,376452.4104,4625283.551,1.5
6/6/2016,14:57:53,376454.6204,4625283.881,1.6
6/6/2016,14:57:54,376456.8404,4625284.421,1.8
6/6/2016,14:57:55,376459.0404,4625285.161,2.3
6/6/2016,14:57:56,376461.1804,4625286.121,2.2
6/6/2016,14:57:57,376463.2504,4625287.321,2.4
6/6/2016,14:57:59,376465.2104,4625288.751,2.5
6/6/2016,14:58:00,376467.0604,4625290.411,2.6
6/6/2016,14:58:01,376468.8204,4625292.281,2.7
6/6/2016,14:58:02,376470.4904,4625294.321,2.1
6/6/2016,14:58:03,376472.0904,4625296.521,2.4
6/6/2016,14:58:04,376473.6304,4625298.861,1.8
6/6/2016,14:58:05,376475.1204,4625301.301,1.9
6/6/2016,14:58:06,376476.5804,4625303.831,2
6/6/2016,14:58:07,376478.0004,4625306.421,2.1
6/6/2016,14:58:08,376479.4204,4625309.041,2
6/6/2016,14:58:09,376480.8304,4625311.671,2.1
6/6/2016,14:58:10,376482.2604,4625314.301,2.2
6/6/2016,14:58:11,376483.7104,4625316.881,2.2
6/6/2016,14:58:12,376485.1804,4625319.421,2.2
6/6/2016,14:58:13,376486.6804,4625321.921,2.3
6/6/2016,14:58:14,376488.2104,4625324.371,2.5
6/6/2016,14:58:15,376489.7504,4625326.791,2.4
6/6/2016,14:58:16,376491.3104,4625329.181,2.4
6/6/2016,14:58:18,376492.8804,4625331.551,2.4
6/6/2016,14:58:19,376494.4604,4625333.891,2.4
6/6/2016,14:58:20,376496.0404,4625336.231,2.5
6/6/2016,14:58:21,376497.6304,4625338.551,2.8
6/6/2016,14:58:22,376499.2104,4625340.861,2.9
6/6/2016,14:58:23,376500.7904,4625343.171,2.6
6/6/2016,14:58:24,376502.3704,4625345.491,2.5
6/6/2016,14:58:25,376503.9304,4625347.811,2.5
6/6/2016,14:58:26,376505.4904,4625350.151,2.7
6/6/2016,14:58:27,376507.0404,4625352.501,2.7
6/6/2016,14:58:28,376508.5904,4625354.861,2.6
6/6/2016,14:58:29,376510.1404,4625357.231,2.7
6/6/2016,14:58:30,376511.6904,4625359.621,2.9
6/6/2016,14:58:31,376513.2404,4625362.031,2.8
6/6/2016,14:58:32,376514.8004,4625364.471,3
6/6/2016,14:58:33,376516.3704,4625366.921,3
6/6/2016,14:58:34,376517.9504,4625369.401,2.9
6/6/2016,14:58:35,376519.5504,4625371.901,3.1
6/6/2016,14:58:37,376521.1604,4625374.431,3.1
6/6/2016,14:58:38,376522.7904,4625376.991,3.2
6/6/2016,14:58:39,376524.4404,4625379.571,3.1
6/6/2016,14:58:40,376526.0904,4625382.151,2.9
